Run,Phase,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,H2O
2672,Glass,72.8,0.27,15.5,0.62,0.07,0.41,3.41,4.45,1.67,10.03
2672,Plagioclase,55.4,0.00,28.2,0.28,0.02,0.03,10.1,5.57,0.13,0.00
2672,Hornblende,41.1,1.94,14.6,12.7,0.27,12.4,10.9,2.12,0.30,0.00
2672,Magnetite,0.21,3.70,3.78,31.8,0.45,1.93,0.08,0.00,0.00,0.00
2672,Ilmenite,0.04,24.8,0.88,19.8,0.20,1.30,0.04,0.00,0.00,0.00
2673,Glass,67.8,0.43,18.6,0.87,0.11,0.80,4.02,4.70,1.47,11.67
2673,Plagioclase,55.1,0.00,28.9,0.33,0.02,0.03,11.1,5.16,0.12,0.00
2673,Hornblende,42.3,1.50,13.9,11.7,0.24,13.7,11.0,2.08,0.29,0.00
2673,Magnetite,0.26,2.89,4.29,30.9,0.42,2.23,0.10,0.00,0.00,0.00
2673,Ilmenite,0.07,22.1,0.94,17.4,0.15,1.27,0.05,0.00,0.00,0.00
