Run,Temperature (°C),Pressure (MPa),Glass,Plagioclase,Hornblende,Biotite,Orthopyroxene,Clinopyroxene,Olivine,Quartz,Apatite,Sulfide,Magnetite,Ilmenite,Vapor
1578,975,700,31,36,3,0,0,0.5,0,0,0,0,3.1,0,0.04
1580,950,700,25,40,32,0.5,1.6,0,0,0,0,0,0.08,0,0
1582,925,700,22,42,32,0.5,0.8,1.3,0,0,0,0,0.12,0,0
1583,900,700,17,42,39,0.6,0,0,0,0,0,0,0.19,0,0
1584,875,700,15,42,38,0.8,0,0,0,0,0,0,0.25,0,0
1586,850,700,12,44,42,3,0,0,0,0,0,0,0.8,0,0.33
1591,825,700,12,44,40,2,0,0.8,0,0,0,0,2.0,0,0.34
1616,900,700,16,43,38,2,0.9,1.1,0,0,0,0,0.22,0,0
1603,975,700,27,40,22,0.4,9.0,2.6,0,0,0,0,0.09,0,0
1604,925,700,24,41,24,0,9.0,2.8,0,0,0,0,0.12,0,0
1612,900,700,13,48,35,0,0.7,3.3,0,0,0,0,0.4,0,0
1598,900,700,16,41,42,0,0.9,0.8,0,0,0,0,0.2,0,0
1610,875,700,13,47,36,0,0.5,2.8,0,0,0,0,0.42,0,0
1602,850,700,15,45,37,0,1.0,3.3,0,0,0,0,0.22,0,0
1611,825,700,12,47,37,1,0,0.9,0,0,0,0,2.5,0,0.46
1690,875,700,13,47,36,0.9,0,0,0,0,0,0,3.6,0,0.40
1694,850,700,12,49,35,0.9,0,0,0,0,0,0,4.0,0,0.57
1660,925,700,29,33,25,10,2.0,0.8,0,0,0,0,0.7,0,0.12
1672,900,700,29,31,28,9,0,1.0,0,0,0,0,3.6,0,0.11
1667,875,700,21,37,27,14,0,1.0,0,0,0,0,1.9,0,0.17
1662,850,700,22,37,24,14,0,1.1,0,0,0,0,2.4,0,0.16
1661,825,700,18,40,22,15,0,4.0,0,0,0,0,1.3,0,0.21
1606,950,700,34,34,22,22,0.6,5.5,0,0,0,0,0.11,0,0
1596,900,700,23,37,27,8,4.1,4.2,0,0,0,0,0.17,0,0
1607,850,700,20,41,20,12,1.2,4.1,0,0,0,0,0.20,0,0
1697,875,700,20,42,21,11,0,1.1,0,0,0,0,5.4,0,0.21
1693,850,700,19,41,21,12,0,1.2,0,0,0,0,5.5,0,0.21
