Run,Temperature (°C),Pressure (MPa),Glass,Clinopyroxene,Orthopyroxene,Plagioclase,Hornblende,Magnetite,Ilmenite,Olivine,Chromium Spinel,Vapor
2672,800,700,86,0,0,8,4,1,0,0,0,1
2673,825,700,89,0,0,3,5,1,1,0,0,1
