Run,Phase,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,H2O
BM38,Glass,46.44,0.79,14.99,8.49,0.17,11.34,11.29,2.15,0.15,2.50
BM38,Olivine,40.69,0.02,0.17,7.31,0.15,50.86,0.33,0.00,0.00,0.0
BM38,Chromium Spinel,0.00,0.49,29.90,29.87,0.12,19.31,0.56,0.02,0.00,0.0
BM40,Glass,46.88,0.89,17.01,8.27,0.15,8.30,11.33,2.37,0.17,3.05
BM40,Olivine,39.80,0.02,0.17,10.04,0.18,48.82,0.33,0.00,0.00,0.0
BM40,Clinopyroxene,47.86,0.47,6.92,6.16,0.11,15.42,20.69,0.38,0.00,0.0
BM40,Chromium Spinel,1.62,0.52,31.12,31.82,0.18,16.61,0.53,0.14,0.00,0.0
BM43,Glass,46.52,0.85,17.14,8.28,0.17,7.76,10.91,2.39,0.18,3.02
BM43,Olivine,40.45,0.02,0.13,9.16,0.20,49.11,0.30,0.00,0.00,0.0
BM43,Clinopyroxene,48.38,0.42,6.81,6.04,0.13,15.37,21.06,0.39,0.00,0.0
BM43,Chromium Spinel,0.32,0.57,27.58,42.31,0.19,14.96,0.26,0.00,0.00,0.0
BM39,Glass,50.73,0.76,18.86,7.00,0.11,4.85,7.04,3.46,0.30,5.8
BM39,Clinopyroxene,48.03,0.66,9.15,7.12,0.15,14.23,19.94,0.91,0.037,0.0
BM39,Orthopyroxene,52.16,0.23,7.33,7.41,0.22,31.18,1.52,0.00,0.00,0.0
BM39,Hornblende,41.57,1.53,14.71,8.53,0.11,16.29,11.57,2.76,0.14,0.0
BM39,Chromium Spinel,0.51,0.71,21.43,53.91,0.35,16.18,0.35,0.00,0.00,0.0
