Run,Phase,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,H2O
RN7,Glass,49.99,0.95,18.74,7.53,0.17,4.68,8.15,1.59,0.89,5.3
RN7,Clinopyroxene(low-Al),50.68,0.46,5.33,7.96,0.25,16.50,19.15,0.28,0.00,0
RN7,Clinopyroxene(high-Al),46.77,0.91,10.03,8.10,0.20,13.65,20.08,0.34,0.00,0
RN7,Orthopyroxene,50.47,0.36,7.74,13.90,0.30,25.90,1.47,0.05,0.01,0
RN7,Plagioclase,47.65,0.03,32.05,0.56,0.01,0.09,17.14,1.81,0.06,0
RN7,Spinel,0.03,0.28,56.17,25.20,0.16,17.30,0.03,0.00,0.00,0

RN8,Glass,51.62,0.67,17.89,6.45,0.17,2.65,6.62,3.00,1.14,6.2
RN8,Orthopyroxene,49.81,0.37,6.44,16.17,0.37,24.66,1.66,0.03,0.02,0
RN8,Plagioclase,46.16,0.02,32.98,0.66,0.02,0.06,17.18,1.69,0.06,0
RN8,Hornblende,40.17,1.73,15.25,12.40,0.21,13.67,10.83,2.30,0.47,0
RN8,Magnetite,0.07,4.88,14.38,71.48,0.34,4.37,0.15,0.03,0.02,0

RN9,Glass,54.81,0.57,17.57,4.28,0.17,2.60,6.67,3.00,1.22,7.9
RN9,Plagioclase,47.15,0.05,31.52,0.93,0.01,0.17,16.81,1.79,0.10,0
RN9,Magnetite,0.03,2.23,9.00,77.18,0.47,5.56,0.11,0.00,0.01,0

RN10s,Glass,57.38,0.55,16.70,3.83,0.16,2.11,5.27,3.11,1.41,7.8
RN10s,Orthopyroxene,52.20,0.28,5.89,12.71,0.51,26.87,1.28,0.09,0.07,0
RN10s,Plagioclase,47.01,0.06,32.06,0.94,0.03,0.32,15.92,1.85,0.12,0
RN10s,Hornblende,42.61,1.96,12.95,10.18,0.26,15.44,10.88,2.14,0.40,0

RN11V2,Glass,58.55,0.49,16.24,2.90,0.16,1.46,4.64,3.50,1.59,8.7
RN11V2,Plagioclase,47.40,0.05,31.70,1.08,0.03,0.24,15.57,2.20,0.10,0
RN11V2,Hornblende,42.84,2.10,12.42,10.66,0.33,15.10,10.71,2.15,0.39,0
RN11V2,Magnetite,0.14,3.42,5.90,79.07,0.61,3.46,0.12,0.02,0.02,0
RN11V2,Ulvospinel,0.03,22.38,1.35,66.94,0.21,1.94,0.11,0.01,0.01,0

RN12V2-2,Glass,61.87,0.33,15.22,1.85,0.16,1.29,3.40,3.50,1.68,7.9
RN12V2-2,Plagioclase,48.81,0.03,29.50,0.51,0.02,0.17,14.36,3.04,0.11,0
RN12V2-2,Hornblende,43.30,1.96,11.39,10.27,0.48,15.35,10.22,1.99,0.32,0
RN12V2-2,Magnetite,0.10,21.59,1.19,66.43,0.31,2.46,0.11,0.01,0.02,0

RN15V2,Glass,65.90,0.09,13.29,0.68,0.12,0.51,1.60,3.73,2.11,9.8
RN15V2,Plagioclase,49.58,0.02,30.60,0.84,0.07,0.44,12.50,3.54,0.16,0
RN15V2,Hornblende,50.51,0.73,7.36,9.23,1.25,17.34,8.19,1.20,0.23,0
RN15V2,Magnetite,0.13,12.77,0.88,75.44,0.31,0.98,0.08,0.03,0.04,0

RN16V2,Glass,67.60,0.05,11.94,0.45,0.12,0.26,0.90,3.80,2.16,10.7
RN16V2,Plagioclase,56.67,0.01,27.21,0.19,0.05,0.07,7.64,6.26,0.34,0
RN16V2,Hornblende,54.64,0.22,2.54,9.85,3.37,20.78,4.36,0.80,0.08,0
RN16V2,Magnetite,0.97,12.00,0.61,74.44,0.48,0.73,0.06,0.04,0.07,0

RN17V2,Glass,68.21,0.05,11.53,0.26,0.10,0.11,0.16,3.88,2.86,10.9
RN17V2,Plagioclase,58.46,0.02,27.64,0.34,0.07,0.15,4.60,6.87,0.47,0
RN17V2,Magnetite,0.30,5.23,0.41,81.33,0.40,0.39,0.01,0.03,0.07,0
RN17V2,Quartz,99.16,0.00,0.08,0.04,0.01,0.00,0.03,0.00,0.02,0
RN17V2,Biotite,38.50,1.93,16.38,7.90,0.73,18.40,0.01,0.86,8.21,0
