Run,Phase,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,H2O
RP32,Glass,54.0,0.84,16.1,6.20,0.26,2.03,6.26,2.92,1.47,7.6
RP32,Amphibole,42.5,2.92,12.5,12.5,0.40,13.2,10.5,2.24,0.51,0.0
RP22,Glass,59.4,0.46,16.3,3.62,0.16,1.00,5.37,2.30,1.62,11.7
RP22,Garnet,39.0,0.87,21.1,24.4,2.62,5.88,7.53,0.03,0.00,0.0
RP22,Amphibole,42.1,1.91,13.9,17.3,0.39,10.4,10.1,1.84,0.58,0.0
RP22,Plagioclase,47.4,0.05,33.9,0.40,0.03,0.09,17.3,1.39,0.12,0.0
RP22,Ilmenite,0.13,51.9,0.24,42.2,1.35,3.08,0.20,0.00,0.00,0.0
RP25,Glass,59.7,0.40,16.0,4.37,0.22,0.75,5.23,2.36,1.84,12.3
RP25,Garnet,37.6,0.79,20.2,25.5,2.56,4.15,8.91,0.02,0.00,0.0
RP25,Amphibole,42.1,1.56,14.1,18.3,0.42,8.97,10.3,1.85,0.63,0.0
RP25,Plagioclase,48.2,0.03,32.4,0.56,0.04,0.03,16.8,1.93,0.13,0.0
RP25,Ilmenite,0.21,50.9,0.26,44.0,1.23,1.95,0.17,0.00,0.00,0.0
RP33,Glass,67.6,0.14,13.6,2.18,0.10,0.37,2.66,2.64,2.37,15.3
RP33,Garnet,37.4,1.03,19.6,27.9,2.86,3.60,8.16,0.04,0.02,0.0
RP33,Amphibole,43.1,1.12,12.8,18.5,0.45,8.76,10.3,1.61,0.63,0.0
RP33,Plagioclase,47.5,0.04,33.5,1.15,0.04,0.07,15.7,1.73,0.18,0.0
RP33,Ilmenite,0.55,48.7,0.23,46.0,0.79,1.13,0.16,0.05,0.04,0.0
RP18,Glass,55.7,0.68,16.6,6.00,0.30,1.57,5.80,2.55,1.51,7.6
RP18,Garnet,37.6,1.32,19.2,22.9,3.21,3.76,10.5,0.07,0.00,0.0
RP18,Amphibole,41.4,1.97,14.1,16.9,0.41,10.1,10.0,2.09,0.57,0.0
RP18,Plagioclase,48.3,0.05,31.9,0.82,0.04,0.18,16.1,1.93,0.16,0.0
RP18,Ilmenite,0.40,50.5,0.34,42.6,1.13,3.32,0.45,0.00,0.00,0.0
RP10,Glass,57.9,0.43,15.9,4.91,0.21,0.79,4.71,2.46,1.80,9.8
RP10,Garnet,37.4,0.90,20.3,24.9,2.78,4.86,8.45,0.03,0.00,0.0
RP10,Amphibole,41.5,2.24,13.1,19.1,0.53,9.14,9.82,2.12,0.60,0.0
RP10,Plagioclase,44.6,0.02,34.9,0.75,0.04,0.06,17.8,1.32,0.07,0.0
RP10,Ilmenite,0.13,51.1,0.27,44.0,1.03,2.01,0.13,0.07,0.00,0.0
RP34,Glass,62.6,0.26,16.3,3.62,0.15,0.51,4.20,2.72,2.63,10.6
RP34,Garnet,37.9,0.95,20.3,25.1,3.10,3.79,8.77,0.02,0.00,0.0
RP34,Amphibole,40.7,1.46,14.2,19.9,0.48,7.70,9.94,2.12,0.61,0.0
RP34,Plagioclase,48.4,0.03,32.6,0.71,0.03,0.04,15.6,2.17,0.13,0.0
RP34,Ilmenite,0.13,50.1,0.25,44.9,0.96,1.46,0.21,0.03,0.00,0.0
RP13,Glass,63.4,0.12,13.8,1.86,0.13,0.27,2.50,2.16,2.43,13.0
RP13,Amphibole,43.1,1.22,11.8,22.3,0.54,6.84,9.90,1.65,0.61,0.0
RP13,Plagioclase,47.9,0.02,33.8,0.65,0.03,0.07,15.9,2.25,0.10,0.0
RP13,Ilmenite,0.40,51.7,0.19,44.4,1.28,1.02,0.13,0.04,0.00,0.0
RP36,Glass,69.7,0.12,13.1,1.75,0.12,0.17,1.88,1.94,3.62,12.2
RP36,Amphibole,43.5,1.42,13.1,19.5,0.66,8.27,9.66,1.84,0.59,0.0
RP36,Plagioclase,44.3,0.07,35.0,3.25,0.11,0.24,15.9,1.61,0.08,0.0
RP36,Ilmenite,1.21,53.5,0.28,41.3,1.28,1.24,0.06,0.10,0.07,0.0
RP14,Glass,54.7,0.57,16.4,5.88,0.25,1.25,5.08,2.46,1.82,7.6
RP14,Amphibole,42.3,2.42,14.3,14.7,0.37,10.9,10.4,2.19,0.48,0.0
RP14,Plagioclase,48.8,0.08,31.7,1.13,0.05,0.22,15.8,1.95,0.13,0.0
RP15,Glass,58.6,0.40,16.3,4.45,0.20,0.90,4.64,2.44,1.81,8.5
RP15,Amphibole,41.9,1.61,13.1,17.5,0.41,9.90,10.3,1.86,0.65,0.0
RP15,Plagioclase,46.2,0.02,33.6,0.71,0.03,0.09,16.9,1.61,0.10,0.0
RP15,Ilmenite,0.22,50.9,0.31,43.9,1.03,2.27,0.08,0.04,0.00,0.0
RP15,Spinel,0.12,0.16,58.1,35.6,0.54,4.94,0.19,0.00,0.00,0.0
RP40,Glass,62.5,0.23,14.7,3.35,0.16,0.42,3.56,2.84,2.12,10.0
RP40,Amphibole,41.9,1.40,12.4,19.5,0.49,7.30,10.4,1.92,0.58,0.0
RP40,Plagioclase,48.7,0.05,32.6,1.12,0.04,0.06,15.7,1.81,0.17,0.0
RP40,Ilmenite,0.11,47.8,0.33,49.3,0.98,1.24,0.10,0.00,0.00,0.0
