Run,Temperature (°C),Pressure (MPa),Glass,Garnet,Amphibole,Plagioclase,Ilmenite,Spinel
RP32,950,800,92.9,0,7.1,0,0,0
RP22,900,800,69.4,9.1,13.6,7.5,5.3,0
RP25,850,800,66.9,3.8,18.2,10.8,0.1,0
RP33,800,800,48.7,6.4,22,22.2,0.5,0
RP18,950,800,79.1,1.3,12.4,7.1,0.01,0
RP10,900,800,67,0.1,21.3,11,0.01,0
RP34,850,800,58.5,0,26.7,14.4,0.4,0
RP13,800,800,48.6,0,27.6,23.5,0.2,0
RP36,800,800,45,0,30.6,23.9,0.6,0
RP14,950,800,74.5,0,17.4,7.8,0,0
RP15,900,800,68.3,0,21.7,8.9,0,0.9
RP40,850,800,53.6,0,25,20.6,0.9,0
