Run,Phase,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,H2O
1584,Ilmenite,0.18,20.5,1.35,14.1,0.12,2.32,0.25,0.03,0,0
1586,Glass,68.7,0.23,17,2.92,0.11,0.37,2.02,4.55,3.82,8.5
1586,Plagioclase,53.7,0,29,0.7,0,0,11.1,4.77,0.3,0
1586,Hornblende,41.2,2.5,11.7,14.8,0.39,10.1,11.4,2.46,0.77,0
1586,Biotite,36.4,3.5,16.2,18.1,0.13,11.5,0.2,0.83,8.09,0
1586,Ilmenite,0.18,20.5,1.35,14.1,0.12,2.32,0.25,0.03,0,0
1591,Glass,70.3,0.22,15.8,2.47,0.07,0.5,2.1,4.26,4.05,7.1
1591,Plagioclase,55.8,0,27.8,0.6,0,0,10.3,5.43,0.39,0
1591,Hornblende,40.4,3.1,13.5,13,0.24,10.3,11.8,2.53,0.81,0
1591,Biotite,36.4,3.5,16.2,18.1,0.13,11.5,0.2,0.83,8.09,0
1591,Ilmenite,0.18,20.5,1.35,14.1,0.12,2.32,0.25,0.03,0,0
1616,Glass,65.5,0.94,17.4,8.86,0.19,2.13,4.99,4.45,2.61,6.7
1616,Plagioclase,57.3,0,25.6,0.1,0,0,8.4,6.19,0.46,0
1616,Hornblende,40.7,3.3,13,14.5,0.29,11.1,10.1,2.4,0.77,0
1616,Biotite,36.1,3,17.3,17.9,0.14,11.7,0.2,0.83,8.17,0
1616,Orthopyroxene,50,0.23,2.6,20.8,0.91,15.5,2.4,0.18,0,0
1616,Magnetite,0.2,9.7,6.2,75.4,0.44,3.93,0.15,0.08,0,0
1603,Glass,57.4,0.94,17.4,8.86,0.19,2.13,4.99,4.45,2.61,6.7
1603,Plagioclase,54.2,0,28.2,0.7,0,0,10.2,5.43,0.34,0
1603,Hornblende,40.3,3,13.2,14.5,0.24,10.2,11.3,2.58,0.85,0
1603,Biotite,36.1,3,17.3,17.9,0.14,11.7,0.2,0.83,8.17,0
1603,Clinopyroxene,48.4,0.7,6,12.8,0.44,12.7,16.3,0.82,0,0
1603,Orthopyroxene,50.3,0.31,4.4,20.8,0.61,20.4,1.7,0.17,0,0
1603,Magnetite,0.2,10.8,7.2,69,0.4,4.44,0.25,0.14,0,0
1604,Glass,60.3,0.71,17.6,6.99,0.23,1.65,4.25,4.63,2.94,5
1604,Plagioclase,53.9,0,26.5,0.4,0,0,7.9,6.95,0.49,0
1604,Hornblende,40.5,3.2,13.4,15,0.28,9.9,11.2,2.72,0.76,0
1604,Biotite,36.1,3,17.3,17.9,0.14,11.7,0.2,0.83,8.17,0
1604,Orthopyroxene,51.3,0.28,4.5,20.4,0.66,18.1,2,0.34,0,0
1604,Magnetite,0.2,9.7,6.2,75.4,0.44,3.93,0.15,0.08,0,0
1612,Glass,67.8,0.4,17.1,3.47,0.1,0.7,2.62,3.92,3.5,6.9
1612,Plagioclase,55.4,0,27.6,0.7,0,0,10.5,5.49,0.37,0
1612,Hornblende,42.5,2.4,11.3,15.3,0.36,10.5,11.8,2.15,0.8,0
1612,Biotite,36.4,3.5,16.2,18.1,0.13,11.5,0.2,0.83,8.09,0
1612,Orthopyroxene,50.4,0.18,2.3,23.8,0.9,19.2,1.4,0.06,0,0
1612,Magnetite,0.3,7.7,4.2,79,0.51,1.8,0.15,0.08,0,0
1598,Glass,67.1,0.26,16.7,3.79,0.11,0.71,2.52,4.6,3.89,7
1598,Plagioclase,55.8,0,27.8,0.6,0,0,10.3,5.43,0.39,0
1598,Hornblende,40.5,2.3,12.7,20,0.42,9.2,8.8,2.63,0.81,0
1598,Biotite,36.4,3.5,16.2,18.1,0.13,11.5,0.2,0.83,8.09,0
1598,Orthopyroxene,50.5,0.2,2.6,25.2,1.02,18.1,1.8,0.07,0,0
1598,Magnetite,0.2,8.6,4.6,74.5,0.46,1.2,0.15,0.08,0,0
1610,Glass,67.7,0.32,17.1,3.98,0.1,0.55,2.42,3.88,3.64,7
1610,Plagioclase,58.9,0,25.6,0.4,0,0,7.8,7.26,0.3,0
1610,Hornblende,41.2,2.5,11.7,14.8,0.39,10.1,11.4,2.46,0.77,0
1610,Biotite,36.4,3.5,16.2,18.1,0.13,11.5,0.2,0.83,8.09,0
1610,Ilmenite,0.18,20.5,1.35,14.1,0.12,2.32,0.25,0.03,0,0
1602,Glass,70.5,0.23,16.6,2.72,0.11,0.47,1.89,3.74,4.09,8.2
1602,Plagioclase,58.3,0,26.4,0.4,0,0,7.7,6.89,0.22,0
1602,Hornblende,40.4,3.1,13.5,13,0.24,10.3,11.8,2.53,0.81,0
1602,Biotite,36.4,3.5,16.2,18.1,0.13,11.5,0.2,0.83,8.09,0
1602,Ilmenite,0.18,20.5,1.35,14.1,0.12,2.32,0.25,0.03,0,0
1611,Glass,70.3,0.22,15.8,2.47,0.07,0.5,2.1,4.26,4.05,7.1
1611,Plagioclase,55.8,0,27.8,0.6,0,0,10.3,5.43,0.39,0
1611,Hornblende,40.4,3.1,13.5,13,0.24,10.3,11.8,2.53,0.81,0
1611,Biotite,36.4,3.5,16.2,18.1,0.13,11.5,0.2,0.83,8.09,0
1611,Ilmenite,0.18,20.5,1.35,14.1,0.12,2.32,0.25,0.03,0,0
1690,Glass,70.7,0.3,15.9,2.37,0.08,0.46,2.04,3.92,4.09,6.8
1690,Plagioclase,54.1,0,28.4,0.7,0,0,10.8,0.06,0.24,0
1690,Hornblende,40.5,2.7,14.4,15.2,0.26,11.1,10.2,2.53,0.81,0
1690,Biotite,37.8,0,16.4,14.8,0.18,16.1,0.1,0.69,8.56,0
1690,Ilmenite,0.18,20.5,1.35,14.1,0.12,2.32,0.25,0.03,0,0
1694,Glass,71.6,0.35,15.4,1.91,0.03,0.42,1.51,3.21,5.11,7.7
1694,Plagioclase,56.9,0,26.1,0.3,0,0,9.2,6.85,0.2,0
1694,Hornblende,38.7,2.3,12.3,7.7,0.01,14.1,9,0.6,0,0
1694,Biotite,37.8,0,16.4,14.8,0.18,16.1,0.1,0.69,8.56,0
1694,Ilmenite,0.18,20.5,1.35,14.1,0.12,2.32,0.25,0.03,0,0
1660,Glass,61.3,0.4,18.1,6.57,0.18,1.22,3.8,4.08,3.7,6.4
1660,Plagioclase,51.6,0,30,0,0,0,12.9,3.89,0.33,0
1660,Hornblende,39.9,2.8,14.2,17.7,0.31,9.5,9.8,2.4,1.14,0
1660,Biotite,36,4.4,16.7,17,0.1,11.9,0.4,0.86,8.21,0
1660,Olivine,34.4,0,0,44.7,0.83,20.2,0.3,0,0,0
1672,Glass,63.6,0.22,18.6,4.85,0.16,0.92,3.43,4.24,3.69,7
1672,Plagioclase,53.6,0,29,0,0,0,11.6,4.51,0.4,0
1672,Hornblende,40.1,3.3,14.5,14.6,0.24,11,9.7,2.29,1.27,0
1672,Biotite,36.1,3,17.3,17.9,0.14,11.7,0.2,0.83,8.17,0
1672,Orthopyroxene,48.7,0.23,3.1,32.5,0.8,13.3,1.5,0.1,0,0
1667,Glass,65.5,0.27,17.5,4.68,0.15,0.77,3.04,4.02,3.74,7.9
1667,Plagioclase,53.4,0,28.7,0,0,0,11.4,4.64,0.43,0
1667,Hornblende,41,2.5,13.4,17.7,0.32,9.8,9.5,2.31,0.98,0
1667,Biotite,36.4,3.5,16.2,18.1,0.13,11.5,0.2,0.83,8.09,0
1667,Orthopyroxene,49.1,0.18,3.4,28.2,0.75,16.4,1.3,0.02,0,0
1667,Olivine,34.2,0,0,45.5,0.89,19.3,0.2,0,0,0
1662,Glass,66.9,0.19,17.3,4.45,0.13,0.53,2.66,4,3.5,8.9
1662,Plagioclase,53.4,0,28.7,0,0,0,11.4,4.62,0.46,0
1662,Hornblende,40.4,3.3,14.7,12.8,0.19,12.3,10.4,2.16,1.19,0
1662,Biotite,35.5,2.9,16.7,21.3,0.15,9.7,0.2,0.87,7.97,0
1662,Olivine,33,0,0,50.3,1.14,14.8,0.2,0,0,0
1661,Glass,70,0.21,16.4,3.02,0.12,0.34,2.14,3.9,3.77,8.8
1661,Plagioclase,54.1,0,28.2,0,0,0,10.8,4.99,0.41,0
1661,Hornblende,40.4,3.8,14.3,13.1,0.18,11.8,10.3,2.12,1.23,0
1661,Biotite,35.5,2.4,16.4,22.1,0.15,8.9,0.4,0.73,8.05,0
1661,Orthopyroxene,49.3,0.14,2.7,33.4,1.37,11.8,1.3,0.12,0,0
1661,Olivine,33.3,0,0,51,1.28,13.6,0.6,0,0,0
1606,Glass,60.2,0.61,18.9,5.29,0.15,1.79,4.12,3.59,4.55,4.9
1606,Plagioclase,53.2,0,28.7,0.7,0,0.1,12,4.44,0.6,0
1606,Hornblende,40.7,2.9,14.1,13.6,0.23,12.3,10.6,2.23,1.46,0
1606,Biotite,36.9,3.74,17.4,13.9,0.06,16.1,0.1,0.69,8.56,0
1606,Orthopyroxene,50.6,0.32,6.5,18.1,0.55,21.8,1.6,0.18,0,0
1596,Glass,67.6,0.69,16.9,3.26,0.09,0.53,2.49,3.43,4.39,6.4
1596,Plagioclase,56.8,0,26.7,0,0,0,9.2,6.31,0.79,0
1596,Hornblende,40.5,3.5,14.4,11.3,0.2,11.1,10.2,2.53,0.81,0
1596,Biotite,37.8,0,16.4,14.8,0.18,16.1,0.1,0.69,8.56,0
1607,Glass,68.3,0.24,16.8,3.36,0.12,0.53,2.49,3.43,4.39,6.2
1607,Plagioclase,53.2,0,28.4,0,0,0,11.9,6.31,0.03,0
1607,Hornblende,40.5,3.5,14.4,11.3,0.2,11.1,10.2,2.53,0.81,0
1607,Biotite,37.8,0,16.4,14.8,0.18,16.1,0.1,0.69,8.56,0
1697,Glass,69.6,0.25,16.2,2.4,0.1,0.59,2.25,3.56,4.7,5.4
1697,Plagioclase,54.9,0.19,26.1,0,0.25,0,8.9,0,0.21,0
1697,Hornblende,38.7,2.3,12.3,7.7,0.01,14.1,9,0.6,0,0
1697,Biotite,37.8,0,16.4,14.8,0.18,16.1,0.1,0.69,8.56,0
1693,Glass,71.2,0.19,15.5,2.06,0.06,0.47,2.12,3.47,4.63,7.2
1693,Plagioclase,58,0,26.9,0.8,0,0.1,10.5,5.35,0.18,0
1693,Hornblende,41.8,2.17,13.9,11.9,0.19,14.3,10.6,2.47,0.27,0
1693,Biotite,36,4.4,16.7,17,0.1,11.9,0.4,0.86,8.21,0
1693,Magnetite,0.34,3.69,5.14,28.3,0.4,4.44,0.25,0.14,0,0
1693,Ilmenite,0.18,20.5,1.35,14.1,0.12,2.32,0.25,0.03,0,0
1693,Chlorite,25,0,20,30,0.5,15,0,0,0,0
1693,Sericite &/or carbonate,60,0,25,0,0,0,0,0,5,0
1693,Titanite,30,40,0,0,0,0,20,0,0,0
