Run,Phase,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,H2O
1578,Glass,57.1,1.01,18.7,7.55,0.25,2.32,5.53,4.26,2.29,6.5
1578,Plagioclase,58,0,26.9,0.8,0,0.1,10.5,5.35,0.18,0
1578,Hornblende,41.8,2.17,13.9,11.9,0.19,14.3,10.6,2.47,0.27,0
1578,Biotite,36,4.4,16.7,17,0.1,11.9,0.4,0.86,8.21,0
1578,Clinopyroxene,49.7,0.71,5.12,8.91,0.29,15.1,19.4,0.53,0.02,0
1578,Orthopyroxene,52.8,0.29,3.96,13.5,0.45,27.7,1.73,0.07,0.02,0
1578,Magnetite,0.34,3.69,5.14,28.3,0.4,4.44,0.25,0.14,0,0
1578,Ilmenite,0.18,20.5,1.35,14.1,0.12,2.32,0.25,0.03,0,0
1580,Glass,57.9,0.79,18.1,8.32,0.16,1.83,4.7,4.68,2.65,5.2
1580,Plagioclase,57.3,0,25.6,0.4,0,0,8.4,6.48,0.27,0
1580,Hornblende,40.7,3.4,14.9,12.9,0.17,12.5,10.5,2.28,1.34,0
1580,Biotite,36.4,3.5,16.2,18.1,0.13,11.5,0.2,0.83,8.09,0
1580,Orthopyroxene,51.3,0.28,4.5,20.4,0.66,18.1,2,0.34,0,0
1580,Ilmenite,0.18,20.5,1.35,14.1,0.12,2.32,0.25,0.03,0,0
1582,Glass,59.7,0.56,18.3,7.09,0.22,1.45,4.7,4.68,2.8,6.1
1582,Plagioclase,58.1,0,25.2,0.4,0,0,7.9,7.35,0.38,0
1582,Hornblende,40.6,3.1,13.6,13.9,0.23,10.7,11.6,2.48,0.89,0
1582,Biotite,36.4,3.5,16.2,18.1,0.13,11.5,0.2,0.83,8.09,0
1582,Orthopyroxene,50.5,0.2,2.6,25.2,1.02,18.1,1.8,0.07,0,0
1582,Ilmenite,0.18,20.5,1.35,14.1,0.12,2.32,0.25,0.03,0,0
1583,Glass,64.4,0.41,17.4,5.21,0.14,0.84,1.45,4.43,4.76,6.4
1583,Plagioclase,56.1,0,26.6,0.6,0,0,9.3,5.92,0.4,0
1583,Hornblende,40.7,3.3,13,14.5,0.29,11.1,10.1,2.4,0.77,0
1583,Biotite,36.1,3,17.3,17.9,0.14,11.7,0.2,0.83,8.17,0
1583,Clinopyroxene,48.8,0.76,6.3,13.2,0.49,13.2,16.4,0.62,0,0
1583,Magnetite,0.2,9.7,6.2,75.4,0.44,3.93,0.15,0.08,0,0
1584,Glass,66.4,0.21,17.3,4.28,0.08,0.6,2.5,4.68,3.66,6.8
1584,Plagioclase,55.3,0,27.2,0.7,0,0,10.2,5.6,0.4,0
1584,Hornblende,42.3,2.3,11.5,15.8,0.35,10.7,11.2,2.15,0.86,0
1584,Biotite,36.4,3.5,16.2,18.1,0.13,11.5,0.2,0.83,8.09,0
