Run,Temperature (°C),Pressure (MPa),Glass,Clinopyroxene,Orthopyroxene,Plagioclase,Hornblende,Magnetite,Ilmenite,Olivine,Chromium Spinel
RN7,1040,700,75.7,19.7,2.2,0.72,0,0,0,0,0
RN8,1010,700,74.4,0,0.8,6.8,16.6,1.4,0,0,0
RN9,980,700,91.8,0,0,5.1,0,0.7,0,0,0
RN10s,950,700,86,0,0.4,10,3.6,0,0,0,0
RN11V2,920,700,90.9,0,0,2.8,5.5,0.18,0,0,0
RN12V2-2,890,700,86.4,0,0,10.9,1.3,0.18,0,0,0
RN15V2,780,700,88.5,0,0,8.7,2.6,0.3,0,0,0
RN16V2,730,700,87.8,0,0,10.4,1.7,0.2,0,0,0
RN17V2,700,700,73.9,0,0,12,0,0.2,0,0,0
