Run,Phase,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,H2O
2370,Glass,65.2,0.73,17.4,1.42,0.11,1.92,4.70,3.63,1.96,5.7
2370,Clinopyroxene,49.7,0.71,5.12,8.91,0.29,15.1,19.4,0.53,0.02,0.0
2370,Orthopyroxene,52.8,0.29,3.96,13.5,0.45,27.7,1.73,0.07,0.02,0.0
2370,Plagioclase,55.6,0.00,27.9,0.85,0.00,0.10,10.5,5.35,0.18,0.0
2370,Hornblende,41.8,2.17,13.9,11.9,0.19,14.3,10.6,2.47,0.27,0.0
2370,Magnetite,0.34,3.69,5.14,28.3,0.40,4.44,0.25,0.14,0.00,0.0
2370,Ilmenite,0.18,20.5,1.35,14.1,0.12,2.32,0.25,0.03,0.00,0.0
2376,Glass,61.8,0.74,18.7,2.06,0.13,2.10,5.41,3.91,1.43,5.4
2376,Clinopyroxene,49.9,0.54,4.76,9.63,0.32,14.8,19.1,0.51,0.05,0.0
2376,Orthopyroxene,51.2,0.25,4.47,16.4,0.42,25.4,1.65,0.06,0.05,0.0
2376,Plagioclase,53.9,0.00,28.7,0.74,0.00,0.14,11.8,4.82,0.15,0.0
2376,Hornblende,41.1,2.39,14.7,12.2,0.19,13.8,10.3,2.69,0.29,0.0
2376,Magnetite,0.12,4.79,6.32,30.2,0.35,3.93,0.15,0.08,0.00,0.0
2387,Glass,58.8,0.82,18.7,2.44,0.17,2.67,5.80,4.79,1.42,4.4
2387,Clinopyroxene,49.0,0.78,5.56,8.96,0.27,14.9,19.3,0.55,0.01,0.0
2387,Orthopyroxene,51.3,0.40,4.95,14.7,0.35,25.9,1.86,0.07,0.01,0.0
2387,Plagioclase,52.7,0.00,29.5,0.77,0.00,0.10,12.5,4.41,0.12,0.0
2387,Hornblende,40.6,3.04,14.5,11.6,0.15,13.9,10.7,2.91,0.34,0.0
2387,Magnetite,0.19,5.00,7.37,29.5,0.38,4.40,0.24,0.23,0.00,0.0
2388,Glass,55.7,1.13,19.3,3.38,0.15,3.67,6.67,4.48,1.03,3.3
2388,Clinopyroxene,48.2,1.16,7.00,8.86,0.22,14.4,19.3,0.60,0.01,0.0
2388,Orthopyroxene,50.9,0.41,6.09,13.6,0.32,26.6,1.58,0.07,0.01,0.0
2388,Plagioclase,51.4,0.00,29.9,0.70,0.00,0.10,13.1,4.07,0.09,0.0
2388,Hornblende,40.3,3.38,14.6,10.8,0.15,14.2,10.9,2.92,0.32,0.0
2388,Magnetite,0.16,5.27,11.1,28.3,0.33,6.08,0.17,0.15,0.00,0.0
2374,Glass,52.2,1.53,19.7,4.38,0.14,4.57,7.34,4.47,0.90,3.0
2374,Olivine,38.5,0.00,0.00,19.3,0.31,41.6,0.19,0.00,0.00,0.0
2374,Clinopyroxene,47.8,1.25,7.62,8.83,0.20,14.3,19.2,0.58,0.00,0.0
2374,Orthopyroxene,50.5,0.45,6.51,13.4,0.29,27.0,1.56,0.06,0.00,0.0
2374,Plagioclase,51.7,0.00,30.1,0.67,0.00,0.10,13.4,4.00,0.10,0.0
2374,Magnetite,0.14,6.00,15.2,27.7,0.26,7.44,0.17,0.14,0.00,0.0
2379,Glass,50.6,1.37,19.4,5.78,0.17,5.50,8.63,3.66,0.64,1.6
2379,Chromium Spinel,0.09,1.63,19.1,23.2,0.31,8.31,0.17,0.15,0.00,0.0
2379,Olivine,36.8,0.00,0.00,18.2,0.27,42.2,0.27,0.00,0.00,0.0
2379,Clinopyroxene,47.7,0.98,8.45,7.56,0.18,14.7,19.4,0.50,0.00,0.0
2379,Plagioclase,51.7,0.00,30.2,0.63,0.00,0.14,13.9,3.69,0.09,0.0
