Run,Temperature (°C),Pressure (MPa),Glass,Clinopyroxene,Orthopyroxene,Plagioclase,Hornblende,Magnetite,Ilmenite,Olivine,Chromium Spinel,Vapor
BM38,1200,700,92,0,0,0,0,0,0,7,1,0
BM40,1150,700,80,6,0,0,0,0,0,13,1,0
BM43,1100,700,77,10,0,0,0,0,0,12,1,0
BM39,1050,700,35,34,15,0,11,0,0,0,5,0
